service_id,provider,service_name,context,category,free_tier,free_tier_type,free_tier_description
azure-kubernetes-fleet-manager,Azure,Azure Kubernetes Fleet Manager,Seamlessly manage Kubernetes clusters at scale.,Containers,No,No free tier type,No free tier available
azure-red-hat-openshift,Azure,Azure Red Hat OpenShift,Deploy and scale containers on managed Red Hat OpenShift.,Containers,No,No free tier type,No free tier available
azure-containers-instances,Azure,Azure Containers Instances,Launch containers with hypervisor isolation.,Containers,No,No free tier type,No free tier available
azure-service-fabric-2,Azure,Azure Service Fabric,"Deploy and operate always-on, scalable, distributed apps.",Containers,No,No free tier type,No free tier available
azure-container-registry,Azure,Azure Container Registry,"Build, store, secure, and replicate container images and artifacts.",Containers,Yes,12 Months,1 Standard tier registry with 100 GB storage and 10 webhooks
azure-digital-twins,Azure,Azure Digital Twins,Use IoT spatial intelligence to create models of physical environments.,"Internet of Things, Mixed Reality",No,No free tier type,No free tier available
azure-iot-central,Azure,Azure IoT Central,Go from proof of concept to proof of value.,Internet of Things,No,No free tier type,No free tier available
azure-iot-hub,Azure,Azure IoT Hub,"Connect, monitor, and manage billions of IoT assets.",Internet of Things,Yes,Always,"8,000 messages per day and .5 KB message meter size of Free edition"
azure-iot-operations,Azure,Azure IoT Operations,Unlock insights of intelligent local actions and global visibility. Enabled by Azure Arc.,Internet of Things,No,No free tier type,No free tier available
windows-10-iot-core-services,Azure,Windows 10 IoT Core Services,Long-term OS support and services to manage device updates and assess device health.,Internet of Things,No,No free tier type,No free tier available
windows-for-iot,Azure,Windows for IoT,"Build intelligent edge solutions with world-class developer tools, long-term support, and enterprise-grade security.",Internet of Things,No,No free tier type,No free tier available
azure-sphere,Azure,Azure Sphere,"Create, connect, and maintain secured intelligent IoT devices from the edge to the cloud.",Internet of Things,No,No free tier type,No free tier available
microsoft-copilot-in-azure,Azure,Microsoft Copilot in Azure,Simplify operations and management from cloud to edge with an AI companion.,Management and governance,No,No free tier type,No free tier available
azure-automation,Azure,Automation,Simplify cloud management with process automation.,Management and governance,Yes,Always,500 minutes of job runtime
azure-advisor,Azure,Azure Advisor,Your personalized Azure best practices recommendation engine.,Management and governance,Yes,Always,Unlimited
azure-blueprints,Azure,Azure Blueprints,"Enabling quick, repeatable creation of governed environments.",Management and governance,No,No free tier type,No free tier available
azure-lighthouse,Azure,Azure Lighthouse,Empowering service providers to manage customers at scale and with precision.,Management and governance,Yes,Always,Free
azure-managed-applications,Azure,Azure Managed Applications,Simplify management of cloud offerings.,Management and governance,Yes,Always,Free Publishing
azure-migrate,Azure,Azure Migrate,Simplify migration and modernization with a unified platform.,"Migration, Management and governance",Yes,Always,Free
azure-mobile-app,Azure,Azure mobile app,"Stay connected to your Azure resources anytime, anywhere.",Management and governance,No,No free tier type,No free tier available
azure-policy,Azure,Azure Policy,Implement corporate governance and standards at scale.,Management and governance,Yes,Always,Free access to configuration and change tracking features
azure-resource-manager,Azure,Azure Resource Manager,Simplify how you manage your app resources.,Management and governance,Yes,Always,Free
azure-resource-manager-templates,Azure,Azure Resource Manager Templates,Deliver infrastructure as a code for all your Azure resources using Resource Manager.,Management and governance,No,No free tier type,No free tier available
azure-service-health,Azure,Azure Service Health,Personalized guidance and support for when issues in Azure services affect you.,Management and governance,No,No free tier type,No free tier available
azure-site-recovery,Azure,Azure Site Recovery,Keep your business running with built-in disaster recovery service.,"Migration, Management and governance",No,No free tier type,No free tier available
azure-cloud-shell,Azure,Cloud Shell,Streamline Azure administration with a browser-based shell.,Management and governance,Yes,Always,5 GB free storage in Azure Files for 12 months
microsoft-cost-management,Azure,Microsoft Cost Management,"Monitor, allocate, and optimize cloud costs with transparency, accuracy, and efficiency.","Migration, Management and governance",Yes,Always,Free
microsoft-azure-portal,Azure,Microsoft Azure Portal,"Build, manage, and monitor all Azure products in a single, unified console.",Management and governance,No,No free tier type,No free tier available
azure-automanage,Azure,Azure Automanage,Effortless automation of cloud and on-premises infrastructure.,Management and governance,Yes,Always Free,There are no charges specifically for Automanage. Azure services that are onboarded through Automanage will be billed individually.
azure-resource-mover,Azure,Azure Resource Mover,Simplify how you move multiple resources between Azure regions.,Management and governance,Yes,Always,Free (ingress and egress charges may apply)
azure-update-management-center,Azure,Update Management Center,Centrally manage updates and compliance at scale.,Management and governance,No,No free tier type,No free tier available
azure-remote-rendering,Azure,Remote Rendering,Automatically align and anchor 3D content to objects in the physical world.,Mixed Reality,No,No free tier type,No free tier available
azure-app-center,Azure,App Center,"Build, test, release, and monitor your mobile and desktop apps.",Mobile,No,No free tier type,No free tier available
aws-ec2,AWS,Amazon EC2,Virtual servers in the cloud.,Compute,Yes,12 Months,750 Hours per month
aws-ec2-auto-scaling,AWS,Amazon EC2 Auto Scaling,Scale compute capacity to meet demand.,Compute,No,No free tier type,No free tier available
aws-ec2-c7g-instances-&-graviton3,AWS,Amazon EC2 C7g Instances & Graviton3,Best price performance for compute-intensive workloads in Amazon EC2.,Compute,No,No free tier type,No free tier available
aws-ec2-hpc6id-instances,AWS,Amazon EC2 Hpc6id Instances,Amazon EC2 Hpc6id deliver cost-effective price performance for data-intensive HPC workloads.,Compute,No,No free tier type,No free tier available
aws-ec2-im4gn-is4gen-instances,AWS,aws-ec2-c7g-instances-&-graviton3,Best price performance and lowest cost SSD-based storage in Amazon EC2.,Compute,No,No free tier type,No free tier available
aws-ec2-inf2-instances,AWS,Amazon EC2 Inf2 Instances,High performance at the lowest cost in Amazon EC2 for the most demanding inference workloads.,Compute,No,No free tier type,No free tier available
aws-ec2-c7gn-instances,AWS,Amazon EC2 C7gn Instances,Graviton compute optimized instances with up to 200 Gbps of networking bandwidth.,Compute,No,No free tier type,No free tier available
aws-ec2-g5g-instances,AWS,Amazon EC2 G5g Instances,Best price performance in Amazon EC2 for Android game streaming.,Compute,No,No free tier type,No free tier available
aws-ec2-m1-mac-instances,AWS,Amazon EC2 M1 Mac Instances,Better application build performance and faster tests for macOS.,Compute,No,No free tier type,No free tier available
aws-ec2-m6a-instances,AWS,Amazon EC2 M6a Instances,General purpose instances powered by 3rd generation AMD EPYC processors.,Compute,No,No free tier type,No free tier available
aws-ec2-spot-instances,AWS,Amazon EC2 Spot Instances,Run workloads for up to 90% off.,Compute,No,No free tier type,No free tier available
aws-ec2-trn1-instances,AWS,Amazon EC2 Trn1 Instances,The best price performance for training deep learning models in the cloud.,Compute,No,No free tier type,No free tier available
aws-elastic-container-service-ecs,AWS,Amazon Elastic Container Service (ECS),"Highly secure, reliable, and scalable way to run containers.","Compute, Containers",Yes,Free Trial,6 Months free trial with 2200 hours per month.
aws-elastic-kubernetes-service-eks,AWS,Amazon Elastic Kubernetes Service (EKS),The most trusted way to run Kubernetes.,"Compute, Containers",No,No free tier type,No free tier available
aws-lightsail,AWS,Amazon Lightsail,Launch and manage virtual private servers.,Compute,Yes,Free Trial,"For a limited time (750 hours per month), new Lightsail customers get up to 90 days free."
aws-app-runner,AWS,AWS App Runner,Production web application at scale made easy for developers.,Compute,No,No free tier type,No free tier available
aws-auto-scaling,AWS,AWS Auto Scaling,Scale multiple resources to meet demand.,Compute,No,No free tier type,No free tier available
aws-batch,AWS,AWS Batch,Run batch jobs at any scale.,Compute,No,No free tier type,No free tier available
aws-compute-optimizer,AWS,AWS Compute Optimizer,Identify optimal AWS Compute resources.,"Compute, Management and governance",No,No free tier type,No free tier available
aws-elastic-beanstalk,AWS,AWS Elastic Beanstalk,Run and manage web apps.,Compute,No,No free tier type,No free tier available
aws-fargate,AWS,AWS Fargate,Serverless compute for containers.,"Compute, Containers",No,No free tier type,No free tier available
aws-lambda,AWS,AWS Lambda,Run code without thinking about servers.,Compute,Yes,Always,"1 Million free requests per month, and Up to 400,000 GB-seconds or 3.2 million seconds of compute time per month"
aws-lambda-snapstart,AWS,AWS Lambda SnapStart,Achieve up to 10x faster java function startup times.,Compute,No,No free tier type,No free tier available
aws-local-zones,AWS,AWS Local Zones,Run latency sensitive applications closer to end users.,Compute,No,No free tier type,No free tier available
aws-outposts,AWS,AWS Outposts,Run AWS infrastructure on-premises.,Compute,No,No free tier type,No free tier available
aws-outposts-1u-and-2u,AWS,AWS outposts 1U and 2U,Run AWS Outposts in smaller locations.,Compute,No,No free tier type,No free tier available
aws-serverless-application-repository,AWS,AWS Serverless Application Repository,"Discover, deploy, and publish serverless applications.",Compute,No,No free tier type,No free tier available
aws-simpspace-weaver,AWS,AWS SimpSpace Weaver,"Build dynamic, large-scale spatial simulatioins on AWS managed infrastructure.",Compute,No,No free tier type,No free tier available
aws-snow-family,AWS,AWS Snow Family,"Physical devices to aggregate and process data in edge locations, then transer to AWS.",Compute,No,No free tier type,No free tier available
aws-wavelength,AWS,AWS Wavelength,Deliver ultra-low latency applications for 5G devices.,Compute,No,No free tier type,No free tier available
aws-cloud-on-aws,AWS,Vmware Cloud on AWS,Build a hybrid cloud without custom hardware.,Compute,No,No free tier type,No free tier available
aws-image-builder,AWS,EC2 Image Builder,Build and maintain secure Linux or Windows Server Image.,Compute,No,No free tier type,No free tier available
aws-augmented-ai,AWS,Amazon Augmented AI,Easily implement humann review of ML predictions.,AI + Machine Learning,Yes,12 Months,500 Objects for free in the first twelve months
aws-bedrock,AWS,Amazon Bedrock,Build with foundation models.,AI + Machine Learning,No,No free tier type,No free tier available
aws-codeguru,AWS,Amazon CodeGuru,Find your most expensive lines of code.,"AI + Machine Learning, Developer Tools",No,No free tier type,No free tier available
aws-comprehend,AWS,Amazon Comprehend,Discover insights and relationships in text.,AI + Machine Learning,Yes,12 Months,50K units of text (5M characters) for each API per month
aws-devops-guru,AWS,Amazon DevOps Guru,ML-powered cloud operations service to improve application availability.,AI + Machine Learning,Yes,Free Trial,"7200 Hours per month, for 3 months"
aws-devops-guru-for-rds,AWS,Amazon DevOps Guru for RDS,"Detect, diagnose, and remediate performance issues in Amazon RDS.",AI + Machine Learning,No,No free tier type,No free tier available
aws-elastic-inference,AWS,Amazon Elastic Inference,Deep learning inference accleration.,AI + Machine Learning,No,No free tier type,No free tier available
aws-forecast,AWS,Amazon Forecast,Increase forecast accuracy using machine learning.,AI + Machine Learning,Yes,Free Trial,"2 months free with Generated forecasts: Up to 10K time series forecasts per month, Data storage: Up to 10GB per month, and Training hours: Up to 10 hours per month."
aws-fraud-detector,AWS,Amazon Fraud Detector,Detect more online fraud faster.,AI + Machine Learning,No,No free tier type,No free tier available
aws-healthlake,AWS,Amazon HealthLake,"Securely store, transform, query, and analyze health data in minutes.",AI + Machine Learning,Yes,Always,"First 10 GB of storage free, 3500 API calls per hour free, and Free data import."
aws-kendra,AWS,Amazon Kendra,Reinvent enterprise search with ML.,AI + Machine Learning,Yes,Free Trial,"Amazon Kendra Developer Edition provides free usage of up to 750 hours for the first 30 days. Connector usage does not qualify for free usage, regular run time and scanning pricing will apply. If you exceed the free tier usage limits, you will be charged the Amazon Kendra Developer Edition rates for the additional resources you use."
aws-lex,AWS,Amazon Lex,Build voice and text chatbots.,AI + Machine Learning,Yes,12 Months,"10,000 text requests per month and 5,000 speech requests per month."
aws-lex-automated-chatbot-designer,AWS,Amazon Lex Automated Chatbot Designer,Design chatbots using existing conversation transcripts.,AI + Machine Learning,No,No free tier type,No free tier available
aws-lookout-for-equipment,AWS,Amazon Lookout for Equipment,Detect abnormal equipment behavior by analyzing sensor data.,AI + Machine Learning,Yes,Free Trial,"1 months free trial with 50 GB of data ingestion, 250 training hours, and 168 inference hours of scheduled inference."
aws-lookout-for-metrics,AWS,Amazon Lookout for Metrics,Automatically detect anomalies in metrics and identify their root cause.,AI + Machine Learning,Yes,Free Trial,30 day free trial with Analyze up to 100 metrics in the first month of usage.
aws-lookout-for-vision,AWS,Amazon Lookout for Vision,Spot product defects using computer vision to automate quality inspection.,AI + Machine Learning,Yes,Free Trial,"The Free Tier lasts 3 months and includes 10 free training hours per month, and up to 4 free inference hours per month."
aws-monitron,AWS,Amazon Monitron,Reduce unplanned equipment downtime with predictive maintenance and machine learning.,AI + Machine Learning,No,No free tier type,No free tier available
aws-personalize,AWS,Amazon Personalize,Build real-time recommendations into your applications.,AI + Machine Learning,Yes,Free Trial,"2 months free with Up to 20GB data processing & storage per month, Up to 100 training hours per month, and Up to 180,000 real-time recommendation requests per month."
aws-polly,AWS,Amazon Polly,Turn text into life-like speech.,AI + Machine Learning,Yes,12 Months,5 Million characters per month
aws-q,AWS,Amazon Q,"Generative AI-Powered assistant, with security and privacy to meet the most stringent enterprise needs.",AI + Machine Learning,No,No free tier type,No free tier available
aws-rekognition,AWS,Amazon Rekognition,Analyze image and video.,AI + Machine Learning,Yes,12 Months,"Analyze 5,000 images per month and Store up to 1,000 face metadata per month"
aws-sagemaker-ai,AWS,Amazon SageMaker AI,"Build, train, and deploy machine learning models at scale.",AI + Machine Learning,Yes,Free Trial,2 Months free trial
aws-sagemaker-canvas,AWS,Amazon SageMaker Canvas,Generate accurate machine learning predictions - no code required.,AI + Machine Learning,No,No free tier type,No free tier available
aws-sagemaker-ground-truth,AWS,Amazon SageMaker Ground Truth,Build accurate ML training datasets.,AI + Machine Learning,Yes,Free Trial,First 500 objects labeled per month for the first two months after first use of SageMaker (excluding any additional costs incurred by using a labeling vendor or Amazon Mechanical Turk)
aws-sagemaker-ground-truth-plus,AWS,Amazon SageMaker Ground Truth Plus,Create High-quality datasets for training machine learning.,AI + Machine Learning,No,No free tier type,No free tier available
aws-sagemaker-hyperpod,AWS,Amazon SageMaker HyperPod,Reduce time to train FMs by up to 40% with purpose-built infrastructure for distributed training.,AI + Machine Learning,No,No free tier type,No free tier available
aws-sagemaker-studio,AWS,Amazon SageMaker Studio,"Accelerate ML development with your preferred IDE, ML tools, and AI-powered coding assistance.",AI + Machine Learning,No,No free tier type,No free tier available
aws-sagemaker-studio-lab,AWS,Amazon SageMaker Studio Lab,"Learn and experiment with ML using free, no-configuration Jupyter Notebooks in the cloud.",AI + Machine Learning,No,No free tier type,No free tier available
aws-sagemaker-training-compiler,AWS,Amazon SageMaker Training Compiler,Train ML models quickly and cost-effectively with Amazon SageMaker.,AI + Machine Learning,No,No free tier type,No free tier available
aws-textract,AWS,Amazon Textract,Extract text and data from documents.,AI + Machine Learning,Yes,Free Trial,"Analyze up to 1,000 pages per month using the Detect Document Text API and up to 100 pages per month using the Analyze Document API"
aws-transcribe,AWS,Amazon Transcribe,Automatic speech recognition.,AI + Machine Learning,Yes,12 Months,60 minutes per month
aws-translate,AWS,Amazon Translate,Natural and fluent language translation.,AI + Machine Learning,Yes,12 Months,2 million characters per month
aws-mxnet-on-aws,AWS,Apache MXNet on AWS,"Scalable, open-source deep learning framework.",AI + Machine Learning,No,No free tier type,No free tier available
aws-app-studio,AWS,AWS App Studio,The fastest and easiest way to build enterprise-grade applications.,"AI + Machine Learning, Developer Tools",Yes,Free Trial,60-day free trial or 250 free user hours for your app consumption.
aws-deep-learning-amis,AWS,AWS Deep Learning AMIs,Deep learning on Amazon EC2.,AI + Machine Learning,No,No free tier type,No free tier available
aws-deep-learning-containers,AWS,AWS Deep Learning Containers,Docker images for deep learning.,AI + Machine Learning,No,No free tier type,No free tier available
aws-deepcomposer,AWS,AWS DeepComposer,ML enabled musical keyboard.,AI + Machine Learning,No,No free tier type,No free tier available
aws-deeplens,AWS,AWS DeepLens,Deep learning enabled video camera.,AI + Machine Learning,No,No free tier type,No free tier available
aws-deepracer,AWS,AWS DeepRacer,"Autonomous 1/18th scale race car, driven by ML.",AI + Machine Learning,Yes,Free Trial,10 free hours to train or evaluate models and 5GB of free storage during first month and this offer is valid for 30 days after used the service for the first time.
aws-healthomics,AWS,AWS HealthOmics,Transform omics data into insights.,AI + Machine Learning,Yes,Free Trial,"2 Months free with 1500 gigabase-months in active storage class and 1500 gigabase-months in archive storage class, 275 omics.m.xlarge instance hours or equivalent compute instances and 49,000 GB-hours of run storage, 200 gigabyte-months."
aws-healthscribe,AWS,AWS HealthScribe,Transform clinical notes into insights using generative AI.,AI + Machine Learning,Yes,Free Trial,Up to 300 minutes of free usage per month for 2 months with the AWS Free Tier.
aws-inferentia,AWS,AWS Inferentia,Machine learning inference chip.,AI + Machine Learning,No,No free tier type,No free tier available
aws-panorama,AWS,AWS Panorama,Improve your operations with computer vision at the edge.,AI + Machine Learning,No,No free tier type,No free tier available
aws-on-aws,AWS,PyTorch on AWS,Flexible open-source machine learning framework.,AI + Machine Learning,No,No free tier type,No free tier available
aws-on-aws,AWS,TensorFlow on AWS,Open-source machine intelligence library.,AI + Machine Learning,No,No free tier type,No free tier available
aws-codewhisperer,AWS,Amazon CodeWhisperer,Build apps faster with ML-powered coding companion.,"AI + Machine Learning, Developer Tools",No,No free tier type,No free tier available
aws-cognito,AWS,Amazon Cognito,Identity management for your apps.,Security,Yes,Always,"Amazon Cognito Lite and Essentials pricing tier have a free tier of 10,000 MAUs each month"
aws-detective,AWS,Amazon Detective,Investigate potential security issues.,Security,Yes,Free Trial,30 days free trial
aws-guardduty,AWS,Amazon GuardDuty,Managed threat detection service.,Security,Yes,Free Trial,30 Days free trial
aws-inspector,AWS,Amazon Inspector,Automated and continual vulnerability management for Amazon EC2 and Amazon ECR.,Security,Yes,Free Trial,15 day unlimited free trial for accounts new to Inspector
aws-macie,AWS,Amazon Macie,Discover and protect your sensitive data at scale.,Security,Yes,Free Trial,30 Days free trial
aws-security-lake,AWS,Amazon Security Lake,Automatically centralize your security data with a few clicks.,Security,Yes,Free Trial,15 days unlimited free trial for accounts new to Security Lake.
aws-verified-permissions,AWS,Amazon Verified Permissions,Fine-grained permissions and authorization for your applications.,Security,No,No free tier type,No free tier available
aws-artifact,AWS,AWS Artifact,On-demand access to AWS' compliance reports.,Security,No,No free tier type,No free tier available
aws-audit-manager,AWS,AWS Audit Manager,Continuously audit your AWS usage to simplify how you assess risk and compliance.,Security,Yes,Free Trial,35000 resource assessments per month for two months
aws-certificate-manager,AWS,AWS Certificate Manager,"Manager Provision, manage, and deploy SSL/TLS certificates.",Security,No,No free tier type,No free tier available
aws-cloudhsm,AWS,AWS CloudHSM,Hardware-based key storage for regulatory compliance.,Security,No,No free tier type,No free tier available
aws-directory-service,AWS,AWS Directory Service,Host and manage active directory.,Security,Yes,Free Trial,"30 Days free trial with 1,500 domain controller hours of use across all Directory Service managed directories"
aws-firewall-manager,AWS,AWS Firewall Manager,Central management of firewall rules.,Security,No,No free tier type,No free tier available
aws-iam-identity-center,AWS,AWS IAM Identity Center,Manage single sign-on access to AWS accounts and apps.,Security,No,No free tier type,No free tier available
aws-identity-and-access-management,AWS,AWS Identity and Access Management,Securely manage access to services and resources.,Security,No,No free tier type,No free tier available
aws-key-management-service-kms,AWS,AWS Key Management Service (KMS),Managed creation and control of encryption keys.,Security,Yes,Always,"20,000 free requests per month"
aws-network-firewall,AWS,AWS Network Firewall,Deploy network security across your Amazon VPCs with just a few clicks.,Security,No,No free tier type,No free tier available
aws-resource-access-manager,AWS,AWS Resource Access Manager,"Simple, secure service to share AWS resources.",Security,Yes,Always,Unlimited with Available to all AWS customers at no additional charge
aws-secrets-manager,AWS,AWS Secrets Manager,"Rotate, manage, and retrieve secrets.",Security,Yes,Free Trial,"30 day free trial. The free trial enables you to rotate, manage, and retrieve secrets over the 30-day period."
aws-security-hub,AWS,AWS Security Hub,Unified security and compliance center.,Security,Yes,Always,"10,000 ingested findings per account per region per month"
aws-shield,AWS,AWS Shield,DDoS protection.,Security,No,No free tier type,No free tier available
aws-waf,AWS,AWS WAF,Filter malicious web traffic.,Security,No,No free tier type,No free tier available
aws-ebs-snapshots-archive,AWS,Amazon EBS Snapshots Archive,Archive EBS Snapshots and save up to 75% in snapshot storage costs.,Storage,No,No free tier type,No free tier available
aws-efs-archive,AWS,Amazon EFS Archive,A new storage class where customers can save up to 50% on storage costs - compared to Amazon EFS Infrequent Access.,Storage,No,No free tier type,No free tier available
aws-elastic-block-store-ebs,AWS,Amazon Elastic Block Store (EBS),EC2 block storage volumes.,Storage,Yes,12 Months,30 GB of Amazon EBS: any combination of General Purpose (SSD) or Magnetic
aws-elastic-file-system-efs,AWS,Amazon Elastic File System (EFS),Fully managed file system for EC2.,Storage,Yes,12 Months,5 GB of Storage
aws-fsx,AWS,Amazon FSx,"Launch, run, and scale feature-rich and highly-performant file systems with just a few clicks.",Storage,No,No free tier type,No free tier available
aws-fsx-for-lustre,AWS,Amazon FSx for Lustre,High-performance file system integrated with S3.,Storage,No,No free tier type,No free tier available
aws-fsx-for-netapp-ontap-scale-out-file-systems,AWS,Amazon FSx for NetApp ONTAP scale-out file systems,Delivers up to 9x higher storage performance than before to power more compute-intensive workloads.,Storage,No,No free tier type,No free tier available
aws-fsx-for-openzfs,AWS,Amazon FSx for OpenZFS,Fully managed storage built on the popular OpenZFS file system.,Storage,No,No free tier type,No free tier available
aws-fsx-for-windows-file-server,AWS,Amazon FSx for Windows File Server,Fully managed Windows native file system.,Storage,No,No free tier type,No free tier available
aws-s3-express-one-zone,AWS,Amazon S3 Express One Zone,Fasted cloud object storage for performance-critical applications that demand consistent single-digit millisecond latency.,Storage,No,No free tier type,No free tier available
aws-s3-glacier,AWS,Amazon S3 Glacier,Low-cost archive storage in the cloud.,Storage,No,No free tier type,No free tier available
aws-s3-glacier-instant-retrieval,AWS,Amazon S3 Glacier Instant Retrieval,Lowest cost storage with milliseconds retrieval for rarely accessed data.,Storage,No,No free tier type,No free tier available
aws-simple-storage-service-s3,AWS,Amazon Simple Storage Service (S3),Object storage built to retrieve any amount of data from anywhere.,Storage,Yes,12 Months,"5 GB of standard storage, 20,000 Get Requests and 2,000 Put Requests"
aws-backup,AWS,AWS Backup,Centralized backup across AWS Services.,Storage,No,No free tier type,No free tier available
aws-backup-support-for-amazon-s3,AWS,AWS Backup support for Amazon S3,Centrally manage backup and restore of app data stored in S3. ,Storage,No,No free tier type,No free tier available
aws-backup-support-for-vmware-workloads,AWS,AWS Backup support for Vmware workloads,Centrally protect hybrid Vmware environments.,Storage,No,No free tier type,No free tier available
aws-snow-family,AWS,AWS Snow Family,Physical edge computing and storage devices for rugged or disconnected environments.,Storage,No,No free tier type,No free tier available
aws-storage-gateway,AWS,AWS Storage Gateway,Hybrid storage integration.,Storage,Yes,Always,100 GB free per account
aws-elastic-disaster-recovery-drs,AWS,AWS Elastic Disaster Recovery (DRS),"Scalable, cost-effective application recovery to AWS.",Storage,No,No free tier type,No free tier available
aws-api-gateway,AWS,Amazon API Gateway,"Build, deploy, and manage APIs.","Network, Front-End Web & Mobile",Yes,12 Months,1 Million API Calls Received per month
aws-cloudfront,AWS,Amazon CloudFront,Global content delivery network.,Network,Yes,Always,"1 TB of data transfer out to the internet per month, and 10,000,000 HTTP or HTTPS Requests per month, and 2,000,000 CloudFront Function invocations per month, and 2,000,000 CloudFront KeyValueStore reads per month"
aws-route,AWS,Amazon Route 53,53 Scalable Domain Name System (DNS),Network,Yes,Always,"Up to 1,000 IP (CIDR) blocks per month, Up to 50 AWS endpoints for health checks, Hosted zone that is deleted within 12 hours of creation."
aws-vpc,AWS,Amazon VPC,Isolated cloud resources.,Network,No,No free tier type,No free tier available
aws-vpc-lattice,AWS,Amazon VPC Lattice,"Simplify service-to-service connectivity, security, and monitoring.",Network,No,No free tier type,No free tier available
aws-app-mesh,AWS,AWS App Mesh,Monitor and control microservices.,Network,No,No free tier type,No free tier available
aws-cloud-map,AWS,AWS Cloud Map,Service discovery for cloud resources.,Network,No,No free tier type,No free tier available
aws-cloud-wan,AWS,AWS Cloud WAN,"Easily build, manage, and monitor global wide area networks.",Network,No,No free tier type,No free tier available
aws-direct-connect,AWS,AWS Direct Connect,Dedicated network connection to AWS.,Network,No,No free tier type,No free tier available
aws-global-accelerator,AWS,AWS Global Accelerator,Improve global application availability and performance.,Network,No,No free tier type,No free tier available
aws-private-5g,AWS,AWS Private 5G,"Easily deploy, manage, and scale a private cellular network.",Network,No,No free tier type,No free tier available
aws-privatelink,AWS,AWS PrivateLink,Securely access services hosted on AWS.,Network,No,No free tier type,No free tier available
aws-transit-gateway,AWS,AWS Transit Gateway,Easily scale VPC and account connection.,Network,No,No free tier type,No free tier available
aws-load-balancing-elb,AWS,Elastic Load Balancing (ELB),Distribute incoming traffic accros multiple targets.,Network,Yes,12 Months,750 Hours per month shared between Classic and Application load balancers
aws-elasticcache-serverless,AWS,Amazon ElasticCache Serverless,Create a highly available cache in under a minute and instantly scale to meet application demand.,Database,No,No free tier type,No free tier available
aws-aurora,AWS,Amazon Aurora,High Performance managed relational database.,Database,No,No free tier type,No free tier available
aws-aurora-limitless-database,AWS,Amazon Aurora Limitless Database,Powers petabyte-scale applications with millions of writes per second.,Database,No,No free tier type,No free tier available
aws-aurora-mysql-zore-etl-ingtegration-with-amazon-redshift,AWS,"Amazon Aurora MySQL zore-ETL, Ingtegration with Amazon Redshift",Amazon Aurora now supports zero-ETL integration with Amazon Redshift.,Database,No,No free tier type,No free tier available
aws-documentdb,AWS,Amazon DocumentDB,Fully managed document database,Database,No,No free tier type,No free tier available
aws-dynamodb,AWS,Amazon DynamoDB,Managed NoSQL database.,Database,Yes,Always,"25 GB of Storage, 25 provisioned Write Capacity Units (WCU), 25 provisioned Read Capacity Units (RCU), Enough to handle up to 200M requests per month."
aws-dynamodb-zero-etl-integration-with-amazon-opensearch,AWS,Amazon DynamoDB zero-ETL integration with Amazon OpenSearch Service,"Enable powerful near real-time search - such as full text search, vector search, and more - without having to build or manage ETL pipelines.",Database,No,No free tier type,No free tier available
aws-elasticache,AWS,Amazon ElastiCache,In-memory caching service.,Database,Yes,12 Months,750 Hours of cache.t2micro or cache.t3.micro Node usage
aws-keyspaces-for-apache-cassandra,AWS,Amazon Keyspaces (for Apache Cassandra),Managed Cassandra-compatible database.,Database,Yes,Free Trial,"3 Months free trial with 30 million on-demand reads per month, 30 million on-demand writes per month, and 1 GB of storage per month."
aws-memorydb-for-redis,AWS,Amazon MemoryDB for Redis,"Redis-compatible, durable, in-memory database service for ultra-fast performance.",Database,No,No free tier type,No free tier available
aws-neptune,AWS,Amazon Neptune,Fully managed graph database service.,Database,Yes,Free Trial,"30 Days free trial with 750 hours of Neptune t3.medium instance usage, 10 million I/O requests, 1 GB of storage, and 1 GB of backup."
aws-neptune-analytics,AWS,Amazon Neptune Analytics,Analyze graph data with tens of billions of connections in seconds.,Database,No,No free tier type,No free tier available
aws-rds,AWS,Amazon RDS,"Managed relational database service for MySQL, PostgreSQL, Oracle, SQL Server, and MariaDB.",Database,Yes,12 Months,750 Hours per month of database usage (applicable DB engines)
aws-rds-custom-for-sql,AWS,Amazon RDS Custom for SQL Server,Managed database serivces for applications that require operating system and database customization.,Database,No,No free tier type,No free tier available
aws-rds-for-db2,AWS,Amazon RDS for Db2,"Easy to setup, operate, and scale a managed Db2 database in the cloud.",Database,No,No free tier type,No free tier available
aws-redshift,AWS,Amazon Redshift,"Fast, simple, cost-effective data warehousing.",Database,Yes,Free Trial,Two-month free trial with 750 DC2.Large node hours per month for 2 months
aws-timestream,AWS,Amazon Timestream,Fully managed time series database.,Database,Yes,Free Trial,30 Days free trial
aws-codecatalyst,AWS,Amazon CodeCatalyst,Unified software development service for faster development and delivery on AWS.,Developer Tools,Yes,Always,"2,000 build minutes, 60 Dev Environment hours, 10 GB of source storage, and 64 GB total Dev Environment storage."
aws-corretto,AWS,Amazon Corretto,Production-ready distribution of OpenJDK,Developer Tools,No,No free tier type,No free tier available
aws-cloud-control-api,AWS,AWS Cloud Control API,Manage AWS and third-party cloud infrastructure with consistent APIs,Developer Tools,No,No free tier type,No free tier available
aws-cloud-development-kit,AWS,AWS Cloud Development Kit (CDK),Model cloud infrastructure using code.,Developer Tools,No,No free tier type,No free tier available
aws-cloud9,AWS,AWS Cloud9,"Write, run, and debug code on a cloud IDE.",Developer Tools,No,No free tier type,No free tier available
